Countries,China,US,Russia,India,Oceana,EU/UK,Ukraine,NK,SK,Japan,Iran
China,0,0,0,-1,0,0,0,0,0,0,1
US,0,0,-1,0,1,1,1,-1,1,1,-1
Russia,0,-1,0,0,-1,-1,-1,1,-1,-1,1
India,-1,0,0,0,0,0,0,0,0,0,0
Oceana,0,1,-1,0,0,1,1,-1,1,1,0
EU/UK,0,1,-1,0,1,0,1,0,1,1,-1
Ukraine,0,1,-1,0,1,1,0,-1,1,1,-1
NK,0,-1,1,0,-1,-1,-1,0,-1,-1,1
SK,0,1,-1,0,1,1,1,-1,0,1,-1
Japan,0,1,-1,0,1,1,1,-1,1,0,0
Iran,1,-1,1,0,0,-1,-1,1,-1,0,0
