Year,Imbalance
2016,0.8666666666666667
2017,0.8666666666666667
2018,0.8666666666666667
2019,0.8666666666666667
2020,0.8666666666666667
2021,0.8606060606060606
2022,0.8424242424242424
2023,0.8363636363636364
2024,0.8363636363636364
2025,0.8484848484848485
